Instance_number,topic,topicKnowledge,overAllTopicKnowledge,quizWiseTopicKnowledge,advanceTopicKnowledge,overAllAdvanceTopicKnowledge,quizWiseAdvanceTopicKnowledge,easyTopicKnowledge,overAllEasyTopicKnowledge,quizWiseEasyTopicKnowledge,knowledge,overAllKnowledge,quizWiseKnowledge,advancedKnowledge,overAllAdvancedKnowledge,quizWiseAdvancedKnowledge,easyKnowledge,overAllEasyKnowledge,quizWiseEasyKnowledge,overallInteractionData,quizWiseInteractionData,activeOrReflective,sensoryOrIntuitive,visualOrVerbal,sequentialOrGlobal,recommendation,Cluster
0,'flow control advanced',0,0,0,0,0,0,0,0,0,0.345646,0.691293,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
1,'flow control easy',0.015625,0.03125,0,0,0,0,0.03125,0.0625,0,0.353459,0.706918,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
2,'exceptions easy',0,0,0,0,0,0,0,0,0,0.364396,0.728793,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
3,'threads advanced',0,0,0,0,0,0,0,0,0,0.376896,0.753793,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
4,'core easy',0,0,0,0,0,0,0,0,0,0.376896,0.753793,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
5,'declarations and access control easy',0,0,0,0,0,0,0,0,0,0.376896,0.753793,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
6,'operators and assignments advanced',0,0,0,0,0,0,0,0,0,0.383146,0.766293,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
7,'inner classes easy',0.015625,0.03125,0,0,0,0,0.03125,0.0625,0,0.415959,0.831918,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
8,'assertions easy',0,0,0,0,0,0,0,0,0,0.420646,0.841293,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
9,'assertions advanced',0,0,0,0,0,0,0,0,0,0.420646,0.841293,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
10,'classes easy',0.015625,0.03125,0,0,0,0,0.03125,0.0625,0,0.453459,0.906918,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
11,'declarations and access control advanced',0.140625,0.03125,0.25,0.28125,0.0625,0.5,0,0,0,0.568636,0.969418,0.167854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
12,'garbage collection easy',0.125,0,0.25,0.25,0,0.5,0,0,0,0.567073,0.966293,0.167854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
13,'garbage collection advanced',0.15625,0.0625,0.25,0.3125,0.125,0.5,0,0,0,0.607698,1.047543,0.167854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
14,'objects and collections advanced',0.125,0,0.25,0.25,0,0.5,0,0,0,0.617073,1.066293,0.167854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
15,'objects and collections easy',0.125,0.25,0,0,0,0,0.25,0.5,0,0.667073,1.191293,0.142854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
