Instance_number,'user id',video,images,paragraph,bullets,examples,advanced,medium,easy,topic,'facts and procedures','theories and meaning','steps given',practical,thinking,Cluster
0,4,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
1,4,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
2,4,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
3,4,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
4,4,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
5,4,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
6,4,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
7,4,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
8,4,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
9,4,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
10,4,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
11,4,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
12,4,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
13,4,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
14,4,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
15,4,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
16,4,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
17,4,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
18,4,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
19,4,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
20,4,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
21,4,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
22,4,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
23,4,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
24,4,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
25,4,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
26,4,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
27,4,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
28,4,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
29,4,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
30,4,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
31,4,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
32,4,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
33,4,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
34,4,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
35,4,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
36,4,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
37,4,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
38,4,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
39,4,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
40,4,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
41,4,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
42,4,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
43,4,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
44,4,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
45,4,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
46,4,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
47,4,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
48,4,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
49,4,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
50,4,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
51,4,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
52,4,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
53,4,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
54,4,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
55,4,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
56,4,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
57,4,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
58,4,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
59,4,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
60,4,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
61,4,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
62,4,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
63,4,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
64,4,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
65,4,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
66,4,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
67,4,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
68,4,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
69,4,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
70,4,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
71,4,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
72,4,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
73,4,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
74,4,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
75,4,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
76,4,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
77,4,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
78,4,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
79,4,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
80,4,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
81,4,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
82,4,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
83,4,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
84,4,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
85,4,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
86,4,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
87,4,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
88,27,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
89,27,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
90,27,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
91,27,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
92,27,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
93,27,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
94,27,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
95,27,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
96,27,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
97,27,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
98,27,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
99,27,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
100,27,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
101,27,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
102,27,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
103,27,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
104,27,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
105,27,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
106,27,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
107,27,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
108,27,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
109,27,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
110,27,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
111,27,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
112,27,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
113,27,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
114,27,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
115,27,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
116,27,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
117,27,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
118,27,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
119,27,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
120,27,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
121,27,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
122,27,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
123,27,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
124,27,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
125,27,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
126,27,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
127,27,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
128,27,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
129,27,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
130,27,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
131,27,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
132,27,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
133,27,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
134,27,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
135,27,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
136,27,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
137,27,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
138,27,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
139,27,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
140,27,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
141,27,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
142,27,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
143,27,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
144,27,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
145,27,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
146,27,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
147,27,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
148,27,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
149,27,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
150,27,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
151,27,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
152,27,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
153,27,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
154,27,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster0
155,27,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster0
156,27,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster0
157,27,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster0
158,27,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster0
159,27,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster0
160,27,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster6
161,27,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster7
162,27,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster0
163,27,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster0
164,27,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster0
165,3,true,false,true,false,false,true,true,true,'flow control',false,true,false,false,true,cluster4
166,3,true,false,true,false,false,true,true,true,exceptions,false,true,false,false,true,cluster3
167,3,true,false,true,false,false,true,true,true,threads,false,true,false,false,true,cluster1
168,3,true,false,true,false,false,true,true,true,core,false,true,false,false,true,cluster3
169,3,true,false,true,false,false,true,true,true,'declarations and access control',false,true,false,false,true,cluster2
170,3,true,false,true,false,false,true,true,true,'operators and assignments',false,true,false,false,true,cluster3
