topic,topicKnowledge,overAllTopicKnowledge,quizWiseTopicKnowledge,advanceTopicKnowledge,overAllAdvanceTopicKnowledge,quizWiseAdvanceTopicKnowledge,easyTopicKnowledge,overAllEasyTopicKnowledge,quizWiseEasyTopicKnowledge,knowledge,overAllKnowledge,quizWiseKnowledge,advancedKnowledge,overAllAdvancedKnowledge,quizWiseAdvancedKnowledge,easyKnowledge,overAllEasyKnowledge,quizWiseEasyKnowledge,timeSpentViewingMaterial,overAllAttemptAverage,quizWiseAttemptAverage,activeOrReflective,sensoryOrIntuitive,visualOrVerbal,sequentialOrGlobal,recommendation
flow control,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.5563218124307534,0.9797676282051282,0.13287599665637861,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,https://javatutorial.net/java-control-flow-statements
exceptions,0.27604166666666663,0.296875,0.2552083333333333,0.3020833333333333,0.09375,0.5104166666666666,0.25,0.5,0.0,0.6857585408258151,1.1516426282051282,0.21987445344650206,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,https://www.youtube.com/watch?v=4my7mKFaNQs
threads,0.24479166666666666,0.265625,0.22395833333333331,0.0,0.0,0.0,0.4895833333333333,0.53125,0.44791666666666663,0.7820162568751979,1.2951611467236468,0.268871367026749,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7548171828011239,1.265647257834758,0.24398710776748972,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.25,0.5,0.0,0.25,0.5,0.0,0.25,0.5,0.0,0.914539405023346,1.4739805911680912,0.3550982188786008,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,http://www.jchq.net/certkey/0101certkey.htm
operators and assignments,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0256505161344571,1.5850917022792024,0.4662093299897119,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0812060716900127,1.6962028133903135,0.4662093299897119,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
assertions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1228727383566794,1.6684250356125356,0.5773204411008231,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,http://www.javatpoint.com/assertion-in-java
classes,0.16666666666666666,0.25,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,1.2293542198381608,1.8350917022792024,0.6236167373971193,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
garbage collection,0.125,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,1.3636134790974201,2.001758368945869,0.7254685892489712,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,https://plumbr.eu/handbook/what-is-garbage-collection
objects and collections,0.25,0.25,0.25,0.0,0.0,0.0,0.5,0.5,0.5,1.4608357013196425,2.1128694800569803,0.8088019225823045,0.13657407407407407,0.20833333333333334,0.06481481481481481,0.08882921006944444,0.14453125,0.03312717013888889,0,2.0,2.0,-11,-11,-11,-11,http://beginnersbook.com/java-collections-tutorials/
