Instance_number,topic,topicKnowledge,overAllTopicKnowledge,quizWiseTopicKnowledge,advanceTopicKnowledge,overAllAdvanceTopicKnowledge,quizWiseAdvanceTopicKnowledge,easyTopicKnowledge,overAllEasyTopicKnowledge,quizWiseEasyTopicKnowledge,knowledge,overAllKnowledge,quizWiseKnowledge,advancedKnowledge,overAllAdvancedKnowledge,quizWiseAdvancedKnowledge,easyKnowledge,overAllEasyKnowledge,quizWiseEasyKnowledge,overallInteractionData,quizWiseInteractionData,activeOrReflective,sensoryOrIntuitive,visualOrVerbal,sequentialOrGlobal,recommendation,Cluster
0,'flow control advanced',0,0,0,0,0,0,0,0,0,0.361745,0.72349,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
1,'flow control easy',0.015625,0.03125,0,0,0,0,0.03125,0.0625,0,0.369557,0.739115,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
2,'exceptions easy',0,0,0,0,0,0,0,0,0,0.380495,0.76099,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
3,'threads advanced',0,0,0,0,0,0,0,0,0,0.392995,0.78599,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
4,'core easy',0,0,0,0,0,0,0,0,0,0.392995,0.78599,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
5,'declarations and access control easy',0,0,0,0,0,0,0,0,0,0.392995,0.78599,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
6,'operators and assignments advanced',0,0,0,0,0,0,0,0,0,0.399245,0.79849,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
7,'inner classes easy',0.015625,0.03125,0,0,0,0,0.03125,0.0625,0,0.432057,0.864115,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
8,'assertions easy',0,0,0,0,0,0,0,0,0,0.436745,0.87349,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
9,'assertions advanced',0,0,0,0,0,0,0,0,0,0.436745,0.87349,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
10,'classes easy',0.015625,0.03125,0,0,0,0,0.03125,0.0625,0,0.469557,0.939115,0,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
11,'declarations and access control advanced',0.140625,0.03125,0.25,0.28125,0.0625,0.5,0,0,0,0.584734,1.001615,0.167854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
12,'garbage collection easy',0.125,0,0.25,0.25,0,0.5,0,0,0,0.583172,0.99849,0.167854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
13,'garbage collection advanced',0.15625,0.0625,0.25,0.3125,0.125,0.5,0,0,0,0.623797,1.07974,0.167854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
14,'objects and collections advanced',0.125,0,0.25,0.25,0,0.5,0,0,0,0.633172,1.09849,0.167854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
15,'objects and collections easy',0.125,0.25,0,0,0,0,0.25,0.5,0,0.683172,1.22349,0.142854,0.221528,0.258333,0.184722,0.073497,0.125781,0.021212,-0.283333,-0.45,ACTIVE,SENSORY,VISUAL,SEQUENTIAL,?,cluster3
