topic,topicKnowledge,overAllTopicKnowledge,quizWiseTopicKnowledge,advanceTopicKnowledge,overAllAdvanceTopicKnowledge,quizWiseAdvanceTopicKnowledge,easyTopicKnowledge,overAllEasyTopicKnowledge,quizWiseEasyTopicKnowledge,knowledge,overAllKnowledge,quizWiseKnowledge,advancedKnowledge,overAllAdvancedKnowledge,quizWiseAdvancedKnowledge,easyKnowledge,overAllEasyKnowledge,quizWiseEasyKnowledge,timeSpentViewingMaterial,overAllAttemptAverage,quizWiseAttemptAverage,activeOrReflective,sensoryOrIntuitive,visualOrVerbal,sequentialOrGlobal,recommendation
flow control,0.125,0.25,0,0,0,0,0.25,0.5,0,0.556321812,0.979767628,0.132875997,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,https://javatutorial.net/java-control-flow-statements
exceptions,0.276041667,0.296875,0.255208333,0.302083333,0.09375,0.510416667,0.25,0.5,0,0.685758541,1.151642628,0.219874453,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,https://www.youtube.com/watch?v=4my7mKFaNQs
threads,0.244791667,0.265625,0.223958333,0,0,0,0.489583333,0.53125,0.447916667,0.782016257,1.295161147,0.268871367,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,http://beginnersbook.com/2013/03/multithreading-in-java/
core,0,0,0,0,0,0,0,0,0,0.754817183,1.265647258,0.243987108,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,http://www.tutorialspoint.com/java/java_inheritance.htm
declarations and access control,0.25,0.5,0,0.25,0.5,0,0.25,0.5,0,0.914539405,1.473980591,0.355098219,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,http://www.jchq.net/certkey/0101certkey.htm
operators and assignments,0.125,0.25,0,0,0,0,0.25,0.5,0,1.025650516,1.585091702,0.46620933,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,http://www.wideskills.com/java-tutorial/java-operators-tutorial
inner classes,0.125,0.25,0,0,0,0,0.25,0.5,0,1.081206072,1.696202813,0.46620933,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
assertions,0,0,0,0,0,0,0,0,0,1.122872738,1.668425036,0.577320441,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,http://www.javatpoint.com/assertion-in-java
classes,0.166666667,0.25,0.083333333,0,0,0,0.333333333,0.5,0.166666667,1.22935422,1.835091702,0.623616737,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,http://www.codejava.net/java-core/the-java-language/java-keyword-assert
garbage collection,0.125,0.25,0,0.25,0.5,0,0,0,0,1.363613479,2.001758369,0.725468589,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,https://plumbr.eu/handbook/what-is-garbage-collection
objects and collections,0.25,0.25,0.25,0,0,0,0.5,0.5,0.5,1.460835701,2.11286948,0.808801923,0.136574074,0.208333333,0.064814815,0.08882921,0.14453125,0.03312717,0,2,2,-11,-11,-11,-11,http://beginnersbook.com/java-collections-tutorials/
flow control,0.125,0.25,0,0,0,0,0.25,0.5,0,0.576355651,1.123575499,0.029135802,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,https://javatutorial.net/java-control-flow-statements
exceptions,0.3125,0.5,0.125,0.375,0.5,0.25,0.25,0.5,0,0.662003799,1.262464387,0.06154321,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,https://www.youtube.com/watch?v=4my7mKFaNQs
threads,0.0625,0,0.125,0,0,0,0.125,0,0.25,0.650429725,1.220797721,0.080061728,0.295138889,0.583333333,0.006944444,0.272916667,0.541666667,0.004166667,0,1,1,-11,-11,-11,-11,http://beginnersbook.com/2013/03/multithreading-in-java/
